,"Склад (Воронеж, ул. Перхоровича)","улица Дорожная, 57","Ростовская улица, 2/2","Ленина, 313","Набережная, 1а","Советская, 5","Электросигнальная, 17","Левый берег, торгово-развлекательный центр","Академика Королёва, 4"
"Склад (Воронеж, ул. Перхоровича)",0.0,788.4229114579485,788.6496519332708,1165.351613247012,1249.2239246092818,1335.4547204933826,1566.962093292522,997.7246537612205,1967.2061167395316
"улица Дорожная, 57",788.4229114579485,0.0,64.93631443870169,391.0798517305044,527.3979783469192,570.9028183894245,1260.3104727613697,779.7520530197512,1555.0242547349499
"Ростовская улица, 2/2",788.6496519332708,64.93631443870169,0.0,377.55378215641565,570.9406688825156,600.2051411594068,1325.0180604679515,843.1176446777454,1617.0302636013573
"Ленина, 313",1165.351613247012,391.0798517305044,377.55378215641565,0.0,449.44644835597956,374.4301493561017,1393.8150760501248,1031.8012731466142,1597.4214213867594
"Набережная, 1а",1249.2239246092818,527.3979783469192,570.9406688825156,449.44644835597956,0.0,155.09342951960235,967.0368308864169,721.3894513134562,1148.0142442489243
"Советская, 5",1335.4547204933826,570.9028183894245,600.2051411594068,374.4301493561017,155.09342951960235,0.0,1104.1800785052205,875.7450897743919,1251.2573367096218
"Электросигнальная, 17",1566.962093292522,1260.3104727613697,1325.0180604679515,1393.8150760501248,967.0368308864169,1104.1800785052205,0.0,572.6200504180752,427.4481516224573
"Левый берег, торгово-развлекательный центр",997.7246537612205,779.7520530197512,843.1176446777454,1031.8012731466142,721.3894513134562,875.7450897743919,572.6200504180752,0.0,970.7765880993549
"Академика Королёва, 4",1967.2061167395316,1555.0242547349499,1617.0302636013573,1597.4214213867594,1148.0142442489243,1251.2573367096218,427.4481516224573,970.7765880993549,0.0
