excel_row,route_name,normalized_address
173,"Лискинский район, Воронежская обл.","397961, Воронежская область, Лискинский район, село Средний Икорец, 30 лет Победы улица, 10б"
174,"Лискинский район, Воронежская обл.","397902, Воронежская область, Лискинский район, город Лиски, Воронежская улица, 15А/1"
175,"Лискинский район, Воронежская обл.","397901, Воронежская область, Лискинский район, город Лиски, Привокзальная улица, 14"
176,"Лискинский район, Воронежская обл.","397903, Воронежская область, Лискинский район, город Лиски, Фестивальная улица, 18"
177,"Лискинский район, Воронежская обл.","397903, Воронежская область, Лискинский район, город Лиски, Фестивальная улица, 20"
179,"Лискинский район, Воронежская обл.","397950, Воронежская область, Лискинский район, село Пухово, Центральная улица, 45"
180,"Лискинский район, Воронежская обл.","397855, Воронежская область, город Острогожск, улица Кирова, 110, 2"
181,"Лискинский район, Воронежская обл.","Воронежская область, Острогожский район, город Острогожск, улица Карла Маркса, 44"
182,"Лискинский район, Воронежская обл.","Воронежская область, Острогожский район, город Острогожск, улица Карла Маркса, 53Б"
183,"Лискинский район, Воронежская обл.","397853, Воронежская область, Острогожский район, город Острогожск, улица Карла Маркса, 49"
184,"Лискинский район, Воронежская обл.","396340, Воронежская область, Каширский район, поселок Колодезный, улица Ленина, 21"
185,"Лискинский район, Воронежская обл.","396340, Воронежская область, Каширский район, поселок Колодезный, улица Ленина, 1а"
